BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,class
0.02097902097902098,0.08108108108108109,0.007168458781362007,0.018018018018018018,0.017543859649122806,0.02097902097902098,0.3969849246231155,0.014084507042253521,0.3571428571428571,0.02631578947368421,1.0000000000000002,0.022566995768688293,0.016260162601626015,0.0,0.009523809523809525,0.3076923076923077,0.029294608787186448,0.06004385225164445,0.0018539012803758604,0.01630434782608696,0.026947574718275354,0.045,0.0018539345713449945,0.0158016858515363,0.7448979591836735,0.02097902097902098,0.017543859649122806,0.022968197879858657,0.10333333333333333,0.027283511269276396,0.02671118530884808,0.05714285714285715,0.14772727272727273,0.015483870967741935,0.8650585385547032,0.007541478129713424,1.0
0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.24623115577889446,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.009523809523809525,0.0,0.0063756743501716525,0.008433125316242199,7.966202483129044e-06,0.0,0.0019598236158745713,0.335,8.006033920729272e-06,0.0004833982899785492,1.0,0.0,0.0,0.0,0.08333333333333333,0.0011862396204033216,0.0025041736227045075,0.004081632653061225,0.03409090909090909,0.003870967741935484,0.5046427129592248,0.0030165912518853697,1.0
0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.24623115577889446,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.009523809523809525,0.0,0.009258483953157334,0.008433125316242199,1.1557632102606388e-05,0.0,0.002449779519843214,0.335,1.1590825228518496e-05,0.0007015317683313695,1.0,0.0,0.0,0.0,0.08333333333333333,0.002372479240806643,0.0025041736227045075,0.00816326530612245,0.03409090909090909,0.003870967741935484,0.5046427129592248,0.0030165912518853697,1.0
0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.24623115577889446,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.009523809523809525,0.0,0.006937882032081723,0.011244167088322932,1.54146018048547e-05,0.0,0.002449779519843214,0.25,1.541460262349367e-05,0.0007015317683313695,1.0,0.0,0.0,0.0,0.08333333333333333,0.0011862396204033216,0.00333889816360601,0.004081632653061225,0.045454545454545456,0.003870967741935484,0.5046427129592248,0.0030165912518853697,1.0
0.0,0.0,0.0035842293906810036,0.009009009009009009,0.0,0.0,0.16080402010050251,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.009523809523809525,0.07692307692307693,0.01111257311690331,0.008433125316242199,1.3874469324783084e-05,0.0,0.002939735423811857,0.335,1.3861193056785005e-05,0.0008417172724251488,1.0,0.0,0.0,0.0,0.05666666666666667,0.002372479240806643,0.00333889816360601,0.00816326530612245,0.03409090909090909,0.0064516129032258064,0.7569640694388373,0.004524886877828055,1.0
0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.4974874371859296,0.0,0.0,0.0,1.0000000000000002,0.0014104372355430183,0.0,0.0,0.009523809523809525,0.15384615384615385,0.02392373114510939,0.002811041772080733,3.3192510346371015e-06,0.0,0.002449779519843214,1.0,3.3458052206032777e-06,0.0006042478624731865,1.0,0.0,0.0,0.0017667844522968193,0.11,0.0035587188612099647,0.001669449081803005,0.012244897959183675,0.011363636363636364,0.0025806451612903226,0.0,0.0015082956259426848,1.0
0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.16080402010050251,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.01904761904761905,0.07692307692307693,0.004784746229021878,0.002811041772080733,6.638502069274203e-07,0.0,0.0009799118079372856,1.0,7.169582615578451e-07,0.0001208495724946373,1.0,0.0,0.0,0.0,0.06666666666666667,0.0011862396204033216,0.0008347245409015025,0.004081632653061225,0.011363636363636364,0.005161290322580645,0.3363948324586193,0.004524886877828055,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4974874371859296,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0063756743501716525,0.008433125316242199,7.966202483129044e-06,0.0,0.0019598236158745713,0.335,8.006033920729272e-06,0.0004833982899785492,1.0,0.0,0.0,0.0,0.3333333333333333,0.0011862396204033216,0.0025041736227045075,0.004081632653061225,0.03409090909090909,0.0,0.0,0.0,1.0
0.0,0.013513513513513514,0.0035842293906810036,0.0,0.0,0.0,0.16080402010050251,0.0,0.0,0.0,1.0000000000000002,0.0014104372355430183,0.0,0.0,0.009523809523809525,0.15384615384615385,0.006459407409179536,0.04497666835329173,0.00022934696948928517,0.001811594202898551,0.006369426751592357,0.065,0.0002293071506549175,0.0026097465180216924,1.0,0.0,0.0,0.0017667844522968193,0.06666666666666667,0.004744958481613286,0.007512520868113523,0.00816326530612245,0.09090909090909091,0.005161290322580645,0.6728905934598304,0.004524886877828055,1.0
0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.4974874371859296,0.0,0.0,0.0,1.0000000000000002,0.0014104372355430183,0.0,0.0,0.0,0.15384615384615385,0.011483390949652507,0.014055208860403665,3.983101241564522e-05,0.001811594202898551,0.0039196472317491425,0.2,3.979118351646041e-05,0.0014501948699356475,1.0,0.0,0.0,0.0017667844522968193,0.3333333333333333,0.0035587188612099647,0.004173622704507512,0.012244897959183675,0.05681818181818182,0.0,0.0,0.0,1.0
0.0,0.013513513513513514,0.005376344086021506,0.009009009009009009,0.0,0.0,0.12060301507537688,0.0,0.0,0.0,1.0000000000000002,0.0014104372355430183,0.0,0.0,0.009523809523809525,0.07692307692307693,0.012643691910190314,0.016866250632484397,6.313215467879766e-05,0.001811594202898551,0.004899559039686428,0.165,6.309232701709038e-05,0.0019154657240400012,1.0,0.0,0.0,0.0017667844522968193,0.04666666666666667,0.0035587188612099647,0.005843071786310518,0.012244897959183675,0.06818181818181818,0.007741935483870969,0.8074283407347598,0.006033182503770739,1.0
0.006993006993006994,0.0,0.005376344086021506,0.0,0.007017543859649123,0.006993006993006993,0.24623115577889446,0.007042253521126761,0.2857142857142857,0.0,0.4623655913978495,0.007052186177715093,0.0,0.0,0.009523809523809525,0.0,0.016603069414705917,0.026986001011975035,0.00021224618815883484,0.003623188405797102,0.008819206271435572,0.105,0.00021221964542112218,0.004024895011933895,0.4897959183673469,0.006993006993006993,0.007017543859649123,0.007067137809187278,0.11,0.007117437722419929,0.01001669449081803,0.020408163265306124,0.09090909090909091,0.0064516129032258064,0.7569640694388373,0.006033182503770739,1.0
