WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC,class
0.017094017094017096,0.125,0.0,0.016,0.02088167053364269,0.66,0.02803738317757009,0.005645464809936019,1.0
0.014245014245014245,0.125,0.0,0.064,0.019721577726218097,0.4,0.018691588785046728,0.011479111780203237,0.0
0.011396011396011397,0.25,0.0,0.032,0.027842227378190254,0.33,0.0,0.0041400075272864136,0.0
0.019943019943019943,0.75,0.0,0.056,0.8689095127610208,0.42,0.02336448598130841,0.01618366578848325,0.0
0.008547008547008548,0.25,0.0,0.048,0.0382830626450116,0.0,0.009345794392523364,0.006398193451260821,1.0
0.05128205128205129,0.25,0.02631578947368421,0.128,0.04988399071925754,0.84,0.0514018691588785,0.10237109522017313,1.0
0.05128205128205129,0.375,0.0,0.07200000000000001,0.0568445475638051,0.8300000000000001,0.08411214953271028,0.05720737674068498,0.0
0.025641025641025644,0.75,0.0,0.2,0.7378190255220417,0.81,0.03271028037383177,0.04234098607452013,1.0
0.025641025641025644,0.125,0.0,0.152,0.024361948955916472,0.59,0.014018691588785045,0.028791870530673693,1.0
0.019943019943019943,0.75,0.0,0.224,0.7610208816705336,0.71,0.004672897196261682,0.051561911930748966,1.0
0.011396011396011397,0.25,0.0,0.056,0.03944315545243619,0.5,0.009345794392523364,0.0041400075272864136,1.0
0.014245014245014245,0.75,0.47368421052631576,0.04,0.759860788863109,0.8,0.018691588785046728,0.01919458035378246,0.0
0.008547008547008548,0.375,0.0,0.024,0.08004640371229699,0.0,0.014018691588785045,0.0022581859239744076,0.0
0.008547008547008548,0.25,0.0,0.024,0.02668213457076566,0.0,0.0,0.001505457282649605,0.0
0.03703703703703704,0.125,0.0,0.08,0.029002320185614848,0.72,0.06074766355140186,0.02465186300338728,1.0
0.039886039886039885,0.125,0.0,0.08,0.030162412993039442,0.74,0.0514018691588785,0.057583741061347386,0.0
0.022792022792022793,0.125,0.05263157894736842,0.032,0.02320185614849188,0.7000000000000001,0.02336448598130841,0.009785472337222432,0.0
0.014245014245014245,0.75,0.0,0.088,0.7587006960556845,0.7000000000000001,0.014018691588785045,0.011290929619872037,1.0
0.06552706552706553,0.125,0.0,0.10400000000000001,0.04060324825986079,0.88,0.08411214953271028,0.05607828377869778,1.0
0.017094017094017096,0.625,0.0,0.192,0.7424593967517401,0.66,0.02336448598130841,0.03406097101994731,0.0
0.019943019943019943,0.125,0.0,0.016,0.022041763341067284,0.53,0.009345794392523364,0.007150922092585623,0.0
0.005698005698005698,0.0,0.05263157894736842,0.0,0.002320185614849188,0.0,0.009345794392523364,0.00037636432066240127,1.0
0.03418803418803419,0.125,0.0,0.056,0.027842227378190254,0.76,0.03271028037383177,0.013172751223184042,1.0
0.005698005698005698,0.0,0.21052631578947367,0.008,0.002320185614849188,0.0,0.0,0.00037636432066240127,0.0
0.05982905982905983,0.125,0.0,0.04,0.0382830626450116,0.71,0.0794392523364486,0.055701919458035376,0.0
0.011396011396011397,0.25,0.0,0.024,0.02668213457076566,0.7000000000000001,0.018691588785046728,0.005269100489273617,0.0
0.06552706552706553,0.125,0.0,0.2,0.04060324825986079,0.89,0.09345794392523364,0.10782837786977795,1.0
0.09686609686609687,0.25,0.0,0.048,0.05916473317865429,0.92,0.02803738317757009,0.2995859992472714,0.0
0.017094017094017096,0.875,0.0,0.272,0.7668213457076566,0.66,0.02336448598130841,0.07640195709446744,1.0
0.005698005698005698,0.125,0.0,0.008,0.016241299303944315,0.93,0.009345794392523364,0.0028227324049680093,1.0
0.014245014245014245,0.25,0.0,0.048,0.04060324825986079,0.65,0.014018691588785045,0.009973654497553632,1.0
0.03418803418803419,0.25,0.0,0.296,0.03248259860788863,0.79,0.014018691588785045,0.13492660895747083,1.0
