V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,class
1.0,0.111731843575419,0.02411873840445269,0.022012392503508397,0.34279527661716896,0.3825656497281814,0.7632298218790765,0.2632406443081233,0.5954914817869139,0.7164885144408492,0.0012807601256010171,0.35713734347447323,0.9675455192126644,0.15629935877494908,0.5135634597663535,0.6965865358583194,0.8838328043324323,0.9120420645259713,0.2154817348238942,0.5895494460632065,1.0
1.0,0.6312849162011173,0.3933209647495362,0.393578849485351,0.19965358917320744,0.8676188936236882,0.2755884763437219,0.06960706997128427,0.838769435002112,0.46465373017701683,0.45335085281721954,0.5459674533167724,0.022102542912969484,0.11972143337380711,0.7921925786433728,0.21286170667190757,0.8234666068389851,0.4098240219034218,0.441590171826878,0.2575686017098396,1.0
1.0,0.05027932960893855,0.5473098330241187,0.5484971807405608,0.8449134574688943,0.5431088248379784,0.6059708281651079,0.9069186668352288,0.0923567391435525,0.10438885605233367,0.44262486405128676,0.2652565710396072,0.5458733816030246,0.964387424362538,0.28623698311393425,0.052557641438865085,0.6392801447883312,0.6704430264137764,0.668483325275977,0.03264184624251545,1.0
0.0,0.31843575418994413,0.8682745825602969,0.8680901561150492,0.4370473040331688,0.06835084026228756,0.14429317714104795,0.19946802640001768,0.7005521250276566,0.3667715210226305,0.9672797479930901,0.12623694137767527,0.686934667836558,0.9736796684495199,0.024738859231925925,0.3425566988807624,0.09917039170772307,0.20709994439838855,0.00024622480324536304,0.9494362572444047,0.0
0.5,0.8491620111731844,0.39517625231910947,0.3944836607339002,0.7775719549645868,0.8584032756821576,0.22376528675885643,0.9055631475338781,0.6687722509403222,0.3740806042816642,0.5559092541710223,0.8471961993782587,0.12994898566616278,0.43591763419064156,0.4516746536358945,0.513068467821668,0.6107000740167244,0.31229839397655895,0.15830953660692212,0.36980984438538633,1.0
0.0,0.1340782122905028,0.27272727272727276,0.2717473189198841,0.2876724281453281,0.42392545553333777,0.8265910953565123,0.688547617757604,0.3141893115031075,0.10707165826830024,0.7624426399554903,0.7207447261761909,0.9848897924309895,0.34524901407885367,0.14428240745388,0.9617953124780656,0.020861899215062155,0.12728553735846176,0.9788506906805915,0.8777946991770997,1.0
0.0,0.09497206703910616,0.7922077922077921,0.7920699613699764,0.795262576197344,0.43054591689673904,0.9176764326921727,0.9003106356592883,0.7293169338455658,0.5609120325382435,0.6597192388683031,0.8353077278573585,0.6446474968560002,0.4445736706371108,0.8218450802344092,0.8779286984876957,0.23809647814603632,0.4141487031977952,0.3788528926910269,0.9733778137107363,1.0
1.0,0.5363128491620112,0.75139146567718,0.7515019164544238,0.7051125183284825,0.9727608991052534,0.6432692172818775,0.5690722870048744,0.1903352977854657,0.16161228599192556,0.48190586765210414,0.6644150849957045,0.8887069131975952,0.6778752270378212,0.9356237565322834,0.03567281602268557,0.5292706598305528,0.09704889930889404,0.9267651365696882,0.2340933287438763,0.0
0.0,0.3687150837988827,0.2782931354359926,0.2792135163954406,0.06783494236181177,0.7355220091171947,0.534290632270165,0.013436798285483807,0.14181768811472936,0.5794061369852036,0.8974637327567733,0.8655366653935107,0.5504075443986782,0.5059476383049181,0.753454606778116,0.3330097885661686,0.7680722499381525,0.10759614361675435,0.6028153704332055,0.9033832570202684,1.0
0.5,0.2681564245810056,0.5027829313543599,0.5003776734313511,0.5717212827029272,0.1801966654648333,0.011206449143660965,0.38444473875902263,0.40359333829474825,0.9751394997044711,0.49012768363514536,0.38588661291341236,0.7019978529758695,0.3026040360049372,0.9644621694709727,0.9180636246773745,0.36286523848108465,0.6341042620542087,0.3887229040113624,0.11640477410265443,1.0
1.0,0.6815642458100558,0.9053803339517625,0.9060721662204467,0.14884934238106798,0.8781180294084266,0.8351905547217373,0.16345596217790115,0.8250135768449424,0.09854940343214354,0.529480120047367,0.010528099157812217,0.8617150380731609,0.41361624838188515,0.19228553130577408,0.7911150863443386,0.8772714570878275,0.3222534911589423,0.546479936181734,0.7846820867087191,1.0
