northing,easting,resistivity,isns,class
0.10744234800838576,0.7487212276214834,0.13081395348837208,0.0,1.0
0.7467767295597485,0.4898976982097187,0.23819040697674415,1.0,1.0
0.49979035639413005,0.7927109974424553,0.1277252906976744,0.0,0.0
0.4960953878406709,0.4909846547314578,0.42629602713178294,1.0,1.0
0.08595387840670861,0.10434782608695653,0.08757267441860464,0.0,1.0
0.6349842767295598,0.5211636828644503,0.5150193798449613,0.0,0.0
0.6347222222222223,0.5402813299232737,0.4967902131782945,0.0,0.0
0.42497379454926626,0.20920716112531967,0.31346899224806196,0.0,0.0
0.9488207547169812,0.5421994884910486,0.03700339147286821,0.0,0.0
0.6580974842767296,0.6159207161125321,0.2850048449612403,0.0,0.0
0.9495807127882601,0.3187340153452685,0.585392441860465,0.0,0.0
0.7795859538784068,0.2258312020460358,0.30069040697674415,1.0,1.0
0.3740828092243187,0.3890664961636829,0.3749394379844961,0.0,1.0
0.8428721174004193,0.833759590792839,0.07043362403100775,0.0,0.0
0.31480607966457025,0.8918797953964195,0.15055717054263565,0.0,1.0
0.6887840670859539,0.28164961636828645,0.297359496124031,0.0,0.0
0.652332285115304,0.9929028132992328,0.03936531007751937,1.0,1.0
0.2605607966457023,0.10370843989769822,0.3391472868217054,1.0,1.0
0.341954926624738,0.9294757033248082,0.18568313953488372,0.0,1.0
0.8734276729559749,0.1868925831202046,0.42853682170542634,0.0,0.0
0.43189203354297695,0.4918158567774936,0.6807170542635659,1.0,1.0
0.15854297693920336,0.8523017902813299,0.1577640503875969,0.0,1.0
0.7956236897274633,0.2645780051150895,0.30523255813953487,0.0,0.0
0.3741876310272537,0.3062659846547314,0.5203488372093023,0.0,1.0
0.6850104821802936,0.649296675191816,0.17526647286821703,0.0,0.0
0.45262054507337535,0.11483375959079285,0.16799903100775193,0.0,0.0
0.9750524109014675,0.8144501278772379,0.0642562984496124,0.0,0.0
0.3144654088050315,0.4782608695652174,0.13414486434108525,0.0,1.0
0.2629716981132076,0.6157289002557546,0.21275436046511628,1.0,1.0
0.7223532494758911,0.2235933503836317,0.2942708333333333,1.0,1.0
0.867688679245283,0.4010869565217391,0.4646923449612403,0.0,0.0
0.3971174004192873,0.49226342710997445,0.4440406976744185,1.0,1.0
0.42329664570230613,0.6495524296675192,0.30910852713178294,0.0,0.0
0.897458071278826,0.15281329923273657,0.506298449612403,0.0,0.0
