theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,class
0.025168601526434964,0.31650938810993623,0.5572854838767874,0.34234211283859345,0.19793388894631858,0.995492219024823,0.34221456790474597,0.4113007158612174,0.9706480592783565,0.6920536450386703,0.2551784731751056,0.47221421075361913,0.061430356711538736,0.3456148799240823,0.08812027066968764,0.12640162248026493,0.43516849248461753,0.6319324892264131,0.5240324567889761,0.6944091930030124,0.09568412088586103,0.6604786633912926,0.37790264870446416,0.06029107785418897,0.22605005002513479,0.6521237443328296,0.5123509841172733,0.5179881631557333,0.936250860708953,0.8567419551292025,0.309707416546957,0.8043203163398519,0.0
0.7498703065181271,0.06708233597178703,0.14012525525315828,0.45505418090077604,0.7979345681970964,0.39020733839227295,0.30955370183155306,0.6016249631303123,0.5541593503888321,0.7420908336793235,0.0010051268901055677,0.9783072774907443,0.25343280910024235,0.8196095692181959,0.4979861344383017,0.1381249608157586,0.46470711486426,0.0236852223503866,0.003333895059228001,0.12672072101705506,0.18105500452459725,0.4446498221393599,0.7312291159156179,0.04754102661121906,0.021058559409458943,0.5604009245266246,0.061174929629690566,0.3934355115995029,0.6495290938518377,0.7816022617655818,0.6765954571960916,0.785134428869125,0.0
0.23081682695450845,0.7073143761415976,0.7137163777388046,0.9792277533926219,0.08052496745433574,0.25588790673954875,0.908166161044472,0.2755945708283421,0.7219028924799596,0.8097796785305222,0.3416665109975953,0.6009282692362788,0.17695035996538783,0.582687822199661,0.06280452298643535,0.7437903294345674,0.6466732641811139,0.9358398730505865,0.649819632631265,0.8817296977256188,0.9862453131750227,0.8163389958897789,0.3584124671702416,0.6724540469496761,0.6851536689469477,0.35435905413814567,0.4213233041655755,0.17691930927444666,0.7827892882242569,0.0863000484537045,0.9672930385868097,0.30195466180947994,0.0
0.12729404632625702,0.27367211718826595,0.7093375165738123,0.3971082998125895,0.28785862583746846,0.938457070137692,0.22554987872920695,0.057648158809025685,0.21430043858392095,0.16028049404854394,0.15633575950656864,0.7662151593963915,0.9202477592698443,0.20182240683156805,0.8908361696881757,0.23138732868236334,0.8890963222107373,0.8166181049599616,0.13920056771368522,0.6428261229997987,0.24838394541326733,0.0016363534523456957,0.6114344058536361,0.7952201980446306,0.17900775556265724,0.05431060538714555,0.9593174913623808,0.9212626737614248,0.5439960632983922,0.4041203429988843,0.5528017394643645,0.29269976403502335,0.0
0.4238465770684944,0.07612618903395396,0.11275413621015307,0.5136861863965646,0.8344608542470049,0.11801672923463269,0.8449215374678676,0.5556920745620284,0.08772952201167328,0.7858694203241865,0.5921439197358946,0.9990103979312371,0.1816714615933292,0.9178963391709134,0.3628982481421091,0.24465243607911874,0.8305895974299363,0.6204474789028833,0.5223063724171539,0.699096906224844,0.8728285933213743,0.6838930542330477,0.8204509050029307,0.7457575044829262,0.19647855052894192,0.675948528758112,0.8955496086783898,0.5698290253359669,0.19730138571363165,0.5394488724511796,0.5879070424838926,0.27742186579130557,0.0
0.6891347003719721,0.5616455393690207,0.8664461140711268,0.42247218776032175,0.4083018879138574,0.6625947595772299,0.07976703951748937,0.4214517982320812,0.4618127979718014,0.33333205974974933,0.8496616745010663,0.6836819648577726,0.9012113353299831,0.30741966925615594,0.5458372357697284,0.18435900554602186,0.5023167877072203,0.04824211066735119,0.6846067689007795,0.2927531580723035,0.33164142433255517,0.26027488604205173,0.6112516353733366,0.7250166623019365,0.7462812279292705,0.6649422170859633,0.9336560593604848,0.7927627777649379,0.9206951994555475,0.4598145423347573,0.4284742173832653,0.8232606756916042,0.0
0.16473046255785267,0.2971853710779229,0.830859775201056,0.435523199581532,0.6695096849486306,0.5584482889667645,0.5488359298605476,0.3358194138096596,0.22720893208986853,0.0200674320054951,0.23349426684962027,0.14335732529427553,0.4251686025568386,0.7255635977482773,0.8632230204265893,0.24514088739816392,0.03968407940420332,0.5794925134961539,0.27873061211967337,0.7022239745460639,0.4196430634990338,0.2587283297636734,0.6239561848907957,0.13000196968639305,0.3860180303831023,0.07484087474442172,0.9771898382205371,0.19372387689539738,0.21332157420055753,0.7448023400027561,0.2988153188069806,0.7560940568406491,0.0
0.7877206381174027,0.04610962140658004,0.7086506863314627,0.8560021874461312,0.852588571648115,0.7046770775345971,0.011409876177924938,0.7944613394383235,0.3279237990424141,0.01718255292376586,0.7611035210645727,0.7733098188771422,0.1513475219155569,0.3438061203573216,0.7076451833868652,0.05732781514323626,0.5385360752189989,0.7076380786010673,0.7444590335083576,0.7940766614022868,0.9872435691161122,0.5943128160127032,0.56953549616182,0.00540441040794741,0.12358586211019398,0.635370699617744,0.9649484499413785,0.5313241691719364,0.06425411817839537,0.8146401312250786,0.8384399579001267,0.7695086991235269,1.0
0.885274759143709,0.19227934980870603,0.9712246569510044,0.10356062902662888,0.5914673790875242,0.2658038784071093,0.484086007492109,0.3238883935179001,0.8412599644148134,0.9919303621477373,0.9207384742619587,0.8800034804790752,0.20100940665762185,0.8791404686056341,0.40340796015338903,0.9328900115045333,0.7713691942747976,0.4309701451072692,0.3732610767084879,0.7807171676717586,0.4861261980404671,0.5977268867853234,0.9362246644983241,0.44427943936411596,0.30793792883052307,0.8614259045248467,0.9401451111141741,0.8143221726600542,0.25554465484737504,0.26611396844730334,0.525676833691277,0.423112113387732,1.0
0.7234833079606753,0.7005606165891061,0.21976402839096432,0.6904884730250358,0.16889804084971727,0.12724078030130292,0.7978264011833534,0.20378399257785845,0.6311685218220923,0.4839672807886709,0.8914989403181762,0.6112300628502364,0.3053138322424104,0.6456752259436839,0.02510766590154412,0.32012984514227805,0.3498859936835216,0.47313726405344686,0.9912535276460291,0.8653320359815105,0.42927361101975003,0.11407886325668565,0.024201746592064283,0.7873863595437977,0.5680575180154934,0.4391657036180994,0.6437014849458002,0.3166213614326528,0.6783969054040297,0.8722422507412527,0.7738896336173179,0.9328342707436789,1.0
