oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,class
0.876605987169644,0.8903495495248279,0.30660379361554635,0.26075971125079167,0.270457539245609,0.6547315110757219,0.12970403169154004,0.52164792510154,0.5794825056747811,0.6151225848000992,0.0
0.43306117290305807,0.29119227353400123,0.2886689732499638,0.19863728693153432,0.17255165547729823,0.9677923605068116,0.07572132884961547,0.9262760659137309,0.6207363430267689,0.7604513114132951,0.0
0.4045940734603775,0.4736579430067942,0.4844555321394338,0.9535430939519935,0.2812339718581791,0.9952975637577945,0.7056881418346078,0.9645196133269975,0.05198113787039643,0.8488865133394246,0.0
0.31084152940578524,0.42812163329871766,0.6584978241804644,0.9332802821477908,0.022954696498008076,0.16003862170619693,0.45183851190376056,0.7223071676185032,0.7036771438815931,0.3417730448842309,0.0
0.36810608994382726,0.2070616510267358,0.25512199588021955,0.22781144158173627,0.8816629485010083,0.48014989822341325,0.5029152481020868,0.3205003439704063,0.5185434276106492,0.11161804881545545,0.0
0.3260622285311028,0.4282862791942756,0.42115658579696613,0.5748430021831505,0.3641352627692619,0.9990934285008477,0.7051802720279464,0.5609669279906576,0.8291040202735037,0.0,0.0
0.6929633642645394,0.8402683270747884,0.1851106985027025,0.3198660985792676,0.4531335316936208,0.9961026227201488,0.7080264892825259,0.6568318016860102,0.4587151638436803,0.09098224861496873,1.0
0.5875732743944757,0.48335289932560926,0.561163213727664,0.9213194954826545,0.22492766358839167,0.6792303589377682,0.694949784409122,0.27424728345207183,0.14210794726489118,0.4596557362313267,0.0
0.7400321411078292,0.6034154876334068,0.3802212152553833,0.4565859706168386,0.6143229146234191,0.6840378283827879,0.9317777995634233,0.522494261802101,0.5033365855888415,0.17783784921620144,1.0
0.14818170655519375,0.025069338503671823,0.09665771901684445,0.3063882992726449,0.18996441080514342,0.7868844042123595,0.8978218737292378,0.7580996701741711,0.1532629455720993,0.15885987659026857,1.0
0.18615755439722825,0.14195020204852654,0.2515138332998992,0.09074579459426124,0.1690636412218598,0.9863679811855608,0.36265558769905104,0.6364215271117065,0.2502637755400863,0.38033488799707804,1.0
0.18958058687881774,0.16577412012347298,0.16614465908876652,0.7073307715721026,0.37142716826886335,0.8247075060012687,0.9546922703433617,0.7196497989658093,0.932873446309928,0.6337896436410309,0.0
0.39848789266147355,0.5727336106587637,0.6045596833948593,0.9361749695483912,0.28851367235913616,0.2534392506145029,0.43533810903045306,0.04630215739875376,0.6122463847823012,0.9339798898801972,0.0
0.5060153257221967,0.664225276746597,0.2056328238500871,0.07368261457257247,0.8657267074139265,0.31478392205714867,0.6747765343846132,0.7456465971478219,0.3251140313159349,0.14725280789567408,1.0
0.43795250438420724,0.6562551005211785,0.2508721028494496,0.07533496769816672,0.32602486390700025,0.6848904163363598,0.06759831239881037,0.6854240129335211,0.6282897659661698,0.63047654862373,1.0
0.1305065710259562,0.1589170187544824,0.2763984687475741,0.6253469884458058,0.2401850742746816,0.6005836677477068,0.8030094549057438,0.22176067258050286,0.45949370524279776,0.026853506982332853,0.0
0.37434675424736236,0.20338656026425667,0.32457275580763506,0.4959392144198719,0.3535523665637669,0.31140848351418804,0.3552089575355871,0.6377380833396166,0.5908040689859105,0.2054855659768724,0.0
0.5133194891785756,0.4205899411076496,0.5077740599234917,0.8988446947957873,0.2956303489496291,0.7644152203086099,0.7887287708390496,0.849557806608557,0.9692974699547303,0.04123774976930372,0.0
0.5666909996352304,0.7756036515944211,0.35908487675055417,0.20953590777202724,0.4513402686785154,0.3567910420173886,0.576899493986485,0.12433989536519607,0.6246990473224604,0.46036944408729025,1.0
0.6701047666981061,0.8925851320754501,0.67037833050545,0.799774318315108,0.8057275152685985,0.285749869588663,0.6728958788584037,0.15964405930669362,0.23023769083192497,0.9353950738512689,1.0
