theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2,class
0.4794448229244264,0.08427764182944625,0.1735443674045271,0.458008438661858,0.46208988283465935,0.9447436449806119,0.5198049918746614,0.07256556180112422,1.0
0.2724769357128759,0.9861527377292103,0.09789806074839502,0.3130931900449788,0.1013417312706063,0.5360764215356469,0.1592191341305887,0.9600611443393144,0.0
0.2433788994934028,0.9944514852052878,0.4640275115104428,0.6702746080107599,0.6859245575985536,0.8872760063926921,0.818284095170632,0.39798663759476705,0.0
0.9664745438608778,0.6216980616168926,0.5124376987498096,0.14035317166084593,0.13637326068187156,0.14787769837614584,0.7547597816575691,0.7827475612276877,0.0
0.21358527366225022,0.3139812697473874,0.7727461579237533,0.3037984589692948,0.9000844286683884,0.2697442286427415,0.6321655068961207,0.43029078567475476,0.0
0.14103888510408907,0.17004083405318987,0.4623852471064044,0.07285926322868352,0.8743511967272879,0.8889415658699855,0.8057952414683945,0.49990748334700247,1.0
0.7276761364480467,0.6130050964253877,0.5252882187294551,0.07750596555826889,0.9608160235105452,0.7025172286448639,0.07837743239301631,0.31092013229047893,0.0
0.5801079410759726,0.7276924539030739,0.5638405745962125,0.9022781203616872,0.6006802583909944,0.5835377035123726,0.7094170590441269,0.7396364678975549,0.0
0.3972909676282888,0.4881848835956053,0.3180270222801422,0.3090765355592371,0.6007128942370402,0.1308252133550385,0.19922246760281676,0.26457429003887367,1.0
0.7945941385830984,0.1686367818667283,0.8826330141309024,0.8171667477991433,0.26710025466573195,0.6659372658718957,0.3791949664569357,0.9362743627186227,1.0
0.16248755791274305,0.6136135455861685,0.7438526514743502,0.7852751850019433,0.3163766675458003,0.6232007288348194,0.22021250885453558,0.029376954518479992,0.0
0.1826548814367242,0.5259270487507943,0.1515518204726432,0.8975351201932322,0.8921878805857046,0.5902734297896907,0.8997066544439352,0.8090089549452235,1.0
0.770962396775775,0.03974484424285507,0.29529293592834105,0.29374687463109045,0.9785853130202167,0.26714083024346136,0.8870452935538982,0.01412754295773233,1.0
0.14069374319531902,0.3680859920243252,0.39698173557898175,0.044826246068833064,0.7644185433162582,0.7663971916300729,0.5371623817659069,0.7855497322851447,1.0
0.23140929320455111,0.8434164579657728,0.009798932713853847,0.9168912510893195,0.17662732145671556,0.50909106827149,0.6886220259177466,0.25584771925613276,1.0
0.06901219908188544,0.7621030147965704,0.44893088321987823,0.9892127850634889,0.5692365493881177,0.2582768596006053,0.9321196716529856,0.559044794729718,0.0
0.2938911208596236,0.8520385436084432,0.8098836194340104,0.3549071442119826,0.8032379535254939,0.022700477329501645,0.23887745322721776,0.7139018356637528,0.0
0.768720433462158,0.3623144853905834,0.47026121820467337,0.4184631872992966,0.8894050777131134,0.8311839533240089,0.22907454477269884,0.9640526961519741,1.0
0.2592445504188394,0.6179576389836456,0.6986519105186106,0.2442113193732417,0.5133613276368304,0.4224647308893101,0.9959114963123463,0.6510296853433618,0.0
0.1971877168743355,0.7517684049234474,0.8896040152966715,0.9564288092361035,0.6213981833243032,0.6913809552108294,0.9422000916704862,0.9687385396037954,0.0
0.3439945307874011,0.8413622783819499,0.5135063645041661,0.09802403732005505,0.7752857493853582,0.3601365132661096,0.6103029292887203,0.0037540090549632033,0.0
0.848199107353194,0.001733496081980257,0.9394397092634855,0.38370046331728813,0.6853111098257245,0.5809863041028265,0.8350531272136339,0.21776336407219965,1.0
0.9975723338915028,0.21753066270519894,0.9981603454963486,0.11295630386080058,0.7214615446254069,0.9914403295674745,0.22615942330930455,0.9774484407193296,0.0
0.4389451656787278,0.4857558653490326,0.5259034709351037,0.4158429841188151,0.8543364018104138,0.5976965508751748,0.6393666402766782,0.45534362851980026,0.0
0.8471862312519765,0.9826541550547205,0.34220571762709506,0.601649796859311,0.41634503996166483,0.32508945948641976,0.6717221550897954,0.2317767198095657,0.0
0.09783963980024746,0.20392816052439183,0.5612591153633703,0.5250449986802156,0.0389321763439468,0.9104330666881738,0.9549489562065087,0.22668663692798036,1.0
0.4998647022494445,0.24102285294696985,0.523934876124447,0.33647260750937447,0.004155631063169685,0.5846121724328948,0.7660269177882412,0.1474440399271869,1.0
0.46377522109244185,0.7579720909785466,0.0737302430816627,0.2044567594848729,0.4237692969389699,0.06683966058455354,0.96487353639735,0.02276409753755676,1.0
0.05861443430684049,0.023390251115357308,0.641452557660991,0.07930299465056223,0.16443955761712686,0.7275727826675694,0.11761240051668814,0.7047660245510858,1.0
0.9442976508065868,0.9369718876312267,0.16349073778794676,0.5180386013733717,0.29333576023744035,0.4821882236083903,0.6067094462269261,0.6169535516392951,1.0
0.6921954951685438,0.35907181239802766,0.01334903610487781,0.572505242661269,0.629255727590981,0.7165760575427188,0.32632859702487604,0.4514279236929314,1.0
0.21872711876277373,0.7201009091164903,0.0711729269927247,0.23345036748369502,0.6734515617711659,0.30994342722157725,0.15220800866702777,0.12954748521400516,0.0
0.036586634067867496,0.8471090966335133,0.02358015762554566,0.49414798298472895,0.8014620859028534,0.18340998762636285,0.8494095587316138,0.5037223366872704,1.0
0.9393014497551907,0.9769660048941399,0.8184629254167877,0.518381877967028,0.06201765944202786,0.8020401113839584,0.48924705196049834,0.5013219046094963,0.0
